"Konto";"DE00000000000000000000"
"Zeitraum:";"03.01.2025 - 30.06.26"
"Kontostand vom 30.06.26";"1234,56"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"09.05.26";"09.05.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-55,3";"";"";""
"22.05.26";"22.05.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-49,7";"";"";""
"13.05.26";"13.05.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-26,4";"";"";""
"06.05.26";"06.05.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-71,2";"";"";""
"20.05.26";"20.05.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-41,8";"";"";""
"02.05.26";"02.05.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-85,4";"";"";""
"25.05.26";"25.05.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"30.05.26";"30.05.26";"Gebucht";"";"Reparatur Service";"Werkstatt";"Lastschrift";"DE00000000000000000000";"-230,0";"";"";""
"11.06.26";"11.06.26";"Gebucht";"";"";"Gehalt Juni 2026";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"03.06.26";"03.06.26";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-480,0";"";"";""
"17.06.26";"17.06.26";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-13,0";"";"";""
"26.06.26";"26.06.26";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-25,0";"";"";""
"08.06.26";"08.06.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-54,1";"";"";""
"21.06.26";"21.06.26";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-48,3";"";"";""
"14.06.26";"14.06.26";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-77,9";"";"";""
"05.06.26";"05.06.26";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-75,6";"";"";""
"19.06.26";"19.06.26";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-34,2";"";"";""
"28.06.26";"28.06.26";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-91,7";"";"";""
"10.06.26";"10.06.26";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-100,0";"";"";""
"30.06.26";"30.06.26";"Gebucht";"";"CustomCompanyB";"Some Other new Thing";"Lastschrift";"DE00000000000000000000";"-200,2";"";"";""
